Site,Sampling Location Description,Location Number,QR Code,Sample Label,Date,CalendarYear,Season,WaterYear,WaterSeason,Lake/Dayton,SRP mg P/L,N0x mg N/L,Urea mg N/L,NH4 mg N/L,TN mg N/L,TP mg P/L,Water Depth (cm),Temp (°C),pH,DO mgL,DO (%Sat),Conductivity (µS/cm),Turbidity (FNU),Notes,Is the data in Survey123?,NOx/SRP Analysis Date,TN/TP Analysis Date,NH4+ Analysis Date,Urea Analysis Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,,NO SAMPLE,4/4/2024,2024,Spring,2024,Spring,Lake,,,,,,,,,,,,,,WATER LEVEL TOO HIGH TO ACCESS SAMPLING LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W05318,040424_SPC_4,4/4/2024,2024,Spring,2024,Spring,Lake,0.085,4.403,,0.0385,5.143,0.254,25,8.8,7.7,10.27,88.9,352.2,63,,,5/23/2024,4/24/24 (TP) 4/25/24 (TN),5/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,,NO SAMPLE - concs for site 4 applied for load calcs,4/4/2024,2024,Spring,2024,Spring,Lake,0.178,4.293,,0.1001,4.162,0.425,,,,,,,,WATER LEVEL TOO HIGH TO ACCESS SAMPLING LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W05328,040424_SPC_6,4/4/2024,2024,Spring,2024,Spring,Lake,0.178,4.293,,0.1001,4.162,0.425,-999,9,7.88,10.13,87.9,306.3,156,,,5/23/2024,9/19/24 (TP) 4/25/24 (TN),5/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W05329,040424_SPC_7,4/4/2024,2024,Spring,2024,Spring,Lake,0.18,4.383,,0.1091,5.488,0.512,60,9.2,7.78,10.11,87.9,305.9,158,,,5/23/2024,4/24/24 (TP) 4/25/24 (TN),5/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate - Great Miami River (Downstream at Barbie Memorial Park),Dupe,W05330,040424_SPC_DUPE,4/4/2024,2024,Spring,2024,Spring,Lake,0.182,4.388,,0.1038,6.218,0.477,60,9.2,7.79,10.11,87.9,305.9,157,duplicate of great maimi river (downstream at barbie park),,5/23/2024,4/24/24 (TP) 4/25/24 (TN),5/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W05317,041624_SPC_1,4/16/2024,2024,Spring,2024,Spring,Lake,0.008,5.755,,0.0498,5.749,0.005,50,15.3,8.39,10.86,108.6,592,5,Not flowing into wetland,,05.24.2024,4/23/24 (TN) 4/26/24 (TP),5/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W05327,041624_SPC_2,4/16/2024,2024,Spring,2024,Spring,Lake,0.003,2.795,,0.0641,4.169,0.027,45,17.9,8.41,13.88,146.4,486.4,9.6,,,05.24.2024,4/23/24 (TN) 4/26/24 (TP),5/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W05351,041624_SPC_3,4/16/2024,2024,Spring,2024,Spring,Lake,0.0015,2.677,,0.0312,3.696,0.103,60,18.3,8.39,11.47,122.2,461.3,17.9,water connection to both north and south pool,,05.24.2024,4/24/24 (TP) 4/25/24 (TN),5/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W05353,041624_SPC_4,4/16/2024,2024,Spring,2024,Spring,Lake,0.042,3.341,,0.0283,4.821,0.191,50,19.1,8.32,11.18,120.8,400.2,39.4,,,05.24.2024,4/24/24 (TP) 4/25/24 (TN),5/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W05436,041624_SPC_5,4/16/2024,2024,Spring,2024,Spring,Lake,0.051,3.956,,0.0461,4.715,0.055,,15.7,8.18,9.45,95.5,530,39.8,,,05.24.2024,4/24/24 (TP) 4/25/24 (TN),5/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W03437,041624_SPC_6,4/16/2024,2024,Spring,2024,Spring,Lake,0.059,3.166,,0.0407,4.108,0.123,40,16.8,8.4,9.23,95.6,503,50.8,Sticker said W05437 which was filled out for SEAL. Survey was filled out as W03437. Sample ID number was then changed to W03437 to reflect the survey,,05.24.2024,4/24/24 (TP) 4/25/24 (TN),5/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W05438,041624_SPC_7,4/16/2024,2024,Spring,2024,Spring,Lake,0.064,3.147,,0.0688,5.043,0.152,35,16.5,8.05,9.13,93.7,507,48.5,,,05.24.2024,4/24/24 (TP) 4/25/24 (TN),5/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate - Springcreek (Upstream of SC Connector),Dupe,W05439,041624_SPC_DUPE,4/16/2024,2024,Spring,2024,Spring,Lake,0.013,5.427,,0.054,7.179,0.012,50,15.3,8.32,10.87,108.8,592,5.1,field duplicate of springcreek site 1,,5/23/2024,4/24/24 (TP) 9/19/24 (TN),5/15/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W05217,052024_SPC_1,5/20/2024,2024,Spring,2024,Spring,Lake,0.004,5.421,,0.0308,6.479,0.012,58,20.4,8.63,9.35,103.9,646,3.1,NOT FLOWING INTO WETLAND,,05.28.24,6/3/2024,5/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W05218,052024_SPC_2,5/20/2024,2024,Spring,2024,Spring,Lake,0.0015,3.522,,0.0211,4.31,0.005,45,22.1,8.68,13.03,149.8,543,4.7,FLOWING INTO CONNECTING CHANNEL. ALGAE AND VEGETATION GROWTH,,05.28.24,6/3/2024,5/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W05220,052024_SPC_3,5/20/2024,2024,Spring,2024,Spring,Lake,0.0015,2.361,,0.01,3.42,0.005,20,24.4,8.72,11.22,134.6,527,2.7,FLOWING INTO GMR POOL. ALGAE AND VEGETATION GROWTH,,05.28.24,6/3/2024,5/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W05226,052024_SPC_4,5/20/2024,2024,Spring,2024,Spring,Lake,0.0015,1.187,,0.0679,2.306,0.026,50,25.6,8.37,9.42,115.5,480.6,9.5,,,05.28.24,6/3/2024,5/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W05227,052024_SPC_5,5/20/2024,2024,Spring,2024,Spring,Lake,0.034,3.754,,0.0619,5.432,0.158,66,20.9,8.45,8.04,90.2,572,33.1,not flowing into wetland,,05.28.24,6/3/2024,5/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W05235,052024_SPC_6,5/20/2024,2024,Spring,2024,Spring,Lake,0.035,2.95,,0.0688,4.782,0.204,44,22.1,8.41,7.92,90.9,538,44.8,,,05.28.24,6/3/2024,5/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W05238,052024_SPC_7,5/20/2024,2024,Spring,2024,Spring,Lake,0.05,3.59,,0.0569,4.608,0.2,22,22.6,8.87,7.59,88.4,536,45.8,,,05.28.24,6/3/2024,5/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Field Blank,Blank,W03024,052024_SPC_BLANK,5/20/2024,2024,Spring,2024,Spring,Lake,0.0015,0.03,,0.0378,,,,,,,,,,field blank. DI water filtered in the field,,05.28.24,,5/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate - Springcreek (Upstream of SC Connector),Dupe,W05480,052024_SPC_DUPE,5/20/2024,2024,Spring,2024,Spring,Lake,0.008,4.327,,0.0453,6.387,0.005,58,20,8.53,9.24,101.9,638,3.4,field duplicate of springcreek site 1,,05.28.24,6/3/2024,5/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W03048,061724_SPC_1,6/17/2024,2024,Summer,2024,Spring,Lake,0.016,4.195,,0.0384,4.365,0.031,58,22.4,8.58,8.34,96.8,638,4.42,,,7/16/2024,8/13/2024,6/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W03049,061724_SPC_2,6/17/2024,2024,Summer,2024,Spring,Lake,0.003,2.586,,0.0537,3.227,0.005,32,24.5,8.05,12.53,149.8,484,4.68,,,7/16/2024,8/13/2024,6/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W03050,061724_SPC_3,6/17/2024,2024,Summer,2024,Spring,Lake,0.051,0.137,,0.2558,3.386,0.136,16,24,7.96,2.88,35.4,507,91.72,,,7/16/2024,8/13/2024,6/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W03051,061724_SPC_4,6/17/2024,2024,Summer,2024,Spring,Lake,0.016,0.192,,0.0244,1.047,0.05,35,26,8.27,8.56,105.3,499.3,16.74,,,7/16/2024,8/13/2024,6/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W03052,061724_SPC_5,6/17/2024,2024,Summer,2024,Spring,Lake,0.122,2.257,,0.0823,3.747,0.147,67,23.4,8.33,6.59,77.8,702,6.05,,,7/16/2024,8/13/2024,6/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W03053,061724_SPC_6,6/17/2024,2024,Summer,2024,Spring,Lake,0.153,2.034,,0.0698,2.701,0.153,43,25.1,8.26,7.91,96.3,712,4.74,,,7/16/2024,8/13/2024,6/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W03054,061724_SPC_7,6/17/2024,2024,Summer,2024,Spring,Lake,0.143,2.307,,0.0751,3.16,0.158,70,24.6,8.56,6.9,83.8,717,7.08,,,7/16/2024,8/13/2024,6/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Field Blank,Blank,W03102,061724_SPC_BLANK,6/17/2024,2024,Summer,2024,Spring,Lake,,,,0.01,,,,,,,,,,,,,,6/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate - Springcreek (Upstream of SC Connector),Dupe,,061724_SPC_DUPE,6/17/2024,2024,Summer,2024,Spring,Lake,0.009,3.829,,0.0419,4.609,0.036,58,22.6,8.45,8.21,95.6,638,4.36,,,7/17/2024,8/13/2024,6/26/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W03157,071524_SPC_1,7/15/2024,2024,Summer,2024,Summer,Lake,0.015,1.228,,0.0362,1.402,0.005,60,23.3,8.2,7.85,92.3,563,2.75,,,8/5/2024,8/15/2024,8/7/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W03163,071524_SPC_2,7/15/2024,2024,Summer,2024,Summer,Lake,0.0015,1.061,,0.0806,2.306,0.005,55,25.4,7.77,7.36,89.8,499.2,2.1,,,8/5/2024,8/15/2024,8/7/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W03166,071524_SPC_4,7/15/2024,2024,Summer,2024,Summer,Lake,0.0015,0.03,,0.0277,1.988,0.059,29,25.3,7.85,6.8,83,472.5,8.4,,,8/5/2024,8/15/2024,8/7/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W03169,071524_SPC_5,7/15/2024,2024,Summer,2024,Summer,Lake,0.118,4.827,,0.0753,6.007,0.211,55,24,8.05,6.96,83,545,13.7,,,8/5/2024,8/15/2024,8/7/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W03187,071524_SPC_6,7/15/2024,2024,Summer,2024,Summer,Lake,0.106,4.698,,0.0754,5.771,0.211,50,24.3,8.15,7.39,88.4,543,15.7,,,8/5/2024,8/15/2024,8/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W03188,071524_SPC_7,7/15/2024,2024,Summer,2024,Summer,Lake,0.117,4.955,,0.0703,5.712,0.199,45,24.5,8.1,7.23,86.9,542,13.6,,,8/5/2024,8/15/2024,8/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate - Springcreek (Upstream of SC Connector),Dupe,W03191,071524_SPC_DUPE,7/15/2024,2024,Summer,2024,Summer,Lake,0.013,1.187,,0.0382,,,60,23.2,8.21,7.9,92.8,561,8,field duplicate of great maimi river upstream site 1. raw bottle was not filled while sampling,,8/5/2024,,8/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W03068,081924_SPC_2,8/19/2024,2024,Summer,2024,Summer,Lake,0.004,0.03,,0.0621,0.668,0.01,21,23.3,7.76,6.38,74.8,441.4,6.62,,,,9/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W03070,081924_SPC_4,8/19/2024,2024,Summer,2024,Summer,Lake,0.0015,0.03,,0.022,1.16,0.02,18,22.4,7.7,6.63,76.7,457.6,6.98,,,,9/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W03071,081924_SPC_5,8/19/2024,2024,Summer,2024,Summer,Lake,0.203,0.945,,0.0929,1.496,0.269,37,22,7.88,6.42,73.5,382.4,7.86,,,,9/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W03072,081924_SPC_6,8/19/2024,2024,Summer,2024,Summer,Lake,0.235,0.818,,0.0983,2.014,0.261,56,22.7,7.96,7.57,88,607,9.22,,,,9/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W03073,081924_SPC_7,8/19/2024,2024,Summer,2024,Summer,Lake,0.191,0.865,,0.1013,1.593,0.274,41,22.7,7.94,6.94,80,635,10.96,,,,9/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate - Springcreek (Upstream of SC Connector),Dupe,W03074,081924_SPC_DUPE,8/19/2024,2024,Summer,2024,Summer,Lake,0.201,0.867,,0.8565,1.338,0.286,41,22.8,7.92,6.99,81.4,636,11.36,FIELD DUPLICATE OF GREAT MIAMI RIVER AT BARBIE PARK,,,9/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W03228,091724_SPC_2,9/17/2024,2024,Summer,2024,Summer,Lake,0.0015,0.03,,0.0636,2.865,0.129,18,27.2,8.19,8.74,110.6,489.9,7.18,SOLINST LOGGER OUT OF WATER,,,9/24/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W03231,091724_SPC_4,9/17/2024,2024,Summer,2024,Summer,Lake,0.0015,0.03,,0.138,1.519,0.054,55,23.4,7.9,6.63,78.1,461.3,10.41,SOLINST LOGGER ALMOST OUT OF WATER,,,9/24/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W03232,091724_SPC_5,9/17/2024,2024,Summer,2024,Summer,Lake,0.293,0.441,,0.1064,2.352,0.333,45,21.6,8.06,8.28,94.2,836,4.94,,,,9/24/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W03233,091724_SPC_6,9/17/2024,2024,Summer,2024,Summer,Lake,0.247,0.249,,0.0807,1.75,0.309,20,23.4,8.25,10.5,122.9,852,5.77,,,,9/24/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W03234,091724_SPC_7,9/17/2024,2024,Summer,2024,Summer,Lake,0.304,0.317,,0.1009,1.452,0.359,20,22.7,8.22,9.16,106.1,851,5.22,,,,9/24/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Duplicate - Great Miami River (Wetland inflow),DUPE,W03235,091724_SPC_DUPE,9/17/2024,2024,Summer,2024,Summer,Lake,0.243,0.329,,0.1094,2.422,0.344,45,21.7,8.04,8.26,94.2,835,4.8,FIELD DUPLICATE OF GREAT MIAMI RIVER AT WETLAND INFLOW,,,9/24/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W03259,101524_SPC_2,10/15/2024,2024,Fall,2025,Fall,Lake,0.013,0.054,,0.666,2.933,0.113,10,11.7,8.24,11.82,109.1,551,10.15,,,12/4/2024,12/12/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W03262,101524_SPC_4,10/15/2024,2024,Fall,2025,Fall,Lake,0.011,0.03,,0.053,0.727,0.06,22,14.3,8.23,11.16,110.8,449.8,6.94,,,12/4/2024,12/12/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W03254,101524_SPC_5,10/15/2024,2024,Fall,2025,Fall,Lake,0.273,0.322,,0.1048,1.834,0.419,59,13.5,8.14,9.62,92.7,772,5.39,,,12/4/2024,12/12/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W03340,101524_SPC_6,10/15/2024,2024,Fall,2025,Fall,Lake,0.405,0.425,,0.077,1.747,0.392,40,12.9,8.33,11.13,105.6,785,4.5,,,12/4/2024,12/12/2024,11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
